Subject:  S999_001_00000018.png 	 Label:  1 	 Prediction:  1
Subject:  S102_009_00000015.png 	 Label:  2 	 Prediction:  2

Subject:  S100_006_00000016.png 	 Label:  4 	 Prediction:  4
Subject:  S100_001_00000001.png 	 Label:  5 	 Prediction:  2
Subject:  S100_002_00000015.png 	 Label:  7 	 Prediction:  7

Subject:  S098_003_00000013.png 	 Label:  2 	 Prediction:  2

Subject:  S097_006_00000019.png 	 Label:  4 	 Prediction:  4

Subject:  S096_001_00000007.png 	 Label:  7 	 Prediction:  7

Subject:  S094_001_00000010.png 	 Label:  7 	 Prediction:  7

Subject:  S093_001_00000020.png 	 Label:  6 	 Prediction:  6

Subject:  S092_004_00000024.png 	 Label:  4 	 Prediction:  4
Subject:  S092_001_00000017.png 	 Label:  7 	 Prediction:  7

Subject:  S091_003_00000021.png 	 Label:  4 	 Prediction:  4

Subject:  S090_006_00000011.png 	 Label:  2 	 Prediction:  2
Subject:  S090_002_00000011.png 	 Label:  7 	 Prediction:  7

Subject:  S089_003_00000036.png 	 Label:  1 	 Prediction:  1
Subject:  S089_002_00000021.png 	 Label:  4 	 Prediction:  4
Subject:  S089_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S088_004_00000020.png 	 Label:  2 	 Prediction:  2

Subject:  S087_004_00000012.png 	 Label:  2 	 Prediction:  2

Subject:  S086_001_00000019.png 	 Label:  7 	 Prediction:  7

Subject:  S085_004_00000017.png 	 Label:  2 	 Prediction:  2

Subject:  S084_002_00000023.png 	 Label:  3 	 Prediction:  4

Subject:  S082_005_00000017.png 	 Label:  1 	 Prediction:  2

Subject:  S081_002_00000024.png 	 Label:  6 	 Prediction:  6

Subject:  S080_008_00000009.png 	 Label:  2 	 Prediction:  2
Subject:  S080_005_00000013.png 	 Label:  6 	 Prediction:  2

Subject:  S079_004_00000026.png 	 Label:  4 	 Prediction:  4
Subject:  S079_001_00000012.png 	 Label:  7 	 Prediction:  7

Subject:  S078_007_00000013.png 	 Label:  2 	 Prediction:  2
Subject:  S078_004_00000027.png 	 Label:  4 	 Prediction:  4

Subject:  S077_006_00000014.png 	 Label:  2 	 Prediction:  2
Subject:  S077_001_00000028.png 	 Label:  7 	 Prediction:  7

Subject:  S075_002_00000014.png 	 Label:  7 	 Prediction:  7

Subject:  S074_004_00000018.png 	 Label:  2 	 Prediction:  2
Subject:  S074_001_00000020.png 	 Label:  3 	 Prediction:  6

Subject:  S073_001_00000013.png 	 Label:  7 	 Prediction:  7
Subject:  S073_006_00000014.png 	 Label:  2 	 Prediction:  2

Subject:  S072_005_00000019.png 	 Label:  1 	 Prediction:  1

Subject:  S070_002_00000016.png 	 Label:  7 	 Prediction:  7

Subject:  S069_003_00000011.png 	 Label:  2 	 Prediction:  2
Subject:  S069_004_00000017.png 	 Label:  4 	 Prediction:  4

Subject:  S068_004_00000010.png 	 Label:  3 	 Prediction:  2

Subject:  S067_006_00000011.png 	 Label:  2 	 Prediction:  2

Subject:  S066_002_00000022.png 	 Label:  7 	 Prediction:  7

Subject:  S064_004_00000014.png 	 Label:  6 	 Prediction:  5
Subject:  S064_001_00000012.png 	 Label:  7 	 Prediction:  7

Subject:  S065_005_00000008.png 	 Label:  2 	 Prediction:  3

Subject:  S063_001_00000013.png 	 Label:  7 	 Prediction:  7

Subject:  S062_001_00000017.png 	 Label:  3 	 Prediction:  4
Subject:  S062_002_00000016.png 	 Label:  7 	 Prediction:  7

Subject:  S061_004_00000022.png 	 Label:  2 	 Prediction:  2
Subject:  S061_002_00000015.png 	 Label:  4 	 Prediction:  4

Subject:  S055_004_00000028.png 	 Label:  1 	 Prediction:  1
Subject:  S055_006_00000008.png 	 Label:  3 	 Prediction:  4
Subject:  S055_005_00000045.png 	 Label:  4 	 Prediction:  4
Subject:  S055_001_00000001.png 	 Label:  5 	 Prediction:  5
Subject:  S055_001_00000012.png 	 Label:  7 	 Prediction:  7

Subject:  S054_004_00000024.png 	 Label:  2 	 Prediction:  2
Subject:  S054_002_00000015.png 	 Label:  3 	 Prediction:  5

Subject:  S052_001_00000015.png 	 Label:  7 	 Prediction:  7

Subject:  S050_006_00000023.png 	 Label:  4 	 Prediction:  4

Subject:  S046_004_00000017.png 	 Label:  2 	 Prediction:  2
Subject:  S046_003_00000016.png 	 Label:  3 	 Prediction:  2
Subject:  S046_002_00000006.png 	 Label:  7 	 Prediction:  7

Subject:  S045_005_00000030.png 	 Label:  1 	 Prediction:  1
Subject:  S045_004_00000015.png 	 Label:  2 	 Prediction:  2

Subject:  S044_006_00000019.png 	 Label:  2 	 Prediction:  2
Subject:  S044_003_00000014.png 	 Label:  4 	 Prediction:  4
Subject:  S044_001_00000024.png 	 Label:  7 	 Prediction:  7

Subject:  S042_004_00000020.png 	 Label:  1 	 Prediction:  1

Subject:  S037_006_00000021.png 	 Label:  4 	 Prediction:  4
Subject:  S037_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S035_006_00000018.png 	 Label:  4 	 Prediction:  4

Subject:  S034_003_00000027.png 	 Label:  1 	 Prediction:  2
Subject:  S034_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S026_006_00000013.png 	 Label:  4 	 Prediction:  4

Subject:  S014_003_00000030.png 	 Label:  1 	 Prediction:  6
Subject:  S014_005_00000017.png 	 Label:  4 	 Prediction:  4
Subject:  S014_001_00000029.png 	 Label:  7 	 Prediction:  7

Subject:  S011_004_00000021.png 	 Label:  1 	 Prediction:  1
Subject:  S011_005_00000020.png 	 Label:  2 	 Prediction:  2
Subject:  S011_006_00000013.png 	 Label:  4 	 Prediction:  4
Subject:  S011_001_00000001.png 	 Label:  5 	 Prediction:  5

Subject:  S010_006_00000015.png 	 Label:  4 	 Prediction:  4
Subject:  S010_002_00000014.png 	 Label:  7 	 Prediction:  7

#-------------------------------------------------------------

























